Date;Nb;Indiv;Species;Paire;Essai;Heure;Zone_T;Zone_B;Touche_T;Touche_B;Coucou;Dummy_T;Dummy_B;Dummy_BB;Paires;App_conspe;App_non_conspe;Touch_conspe;Touch_non_conspe
19/03/2023;61;366;theodorus;1;1;09:24;3;2;0;0;oui;2;2;2;1;3;2;0;0
20/03/2023;61;366;theodorus;1;2;10:04;1;1;0;0;oui;2;2;2;1;1;1;0;0
27/02/2023;16;264;bristowi;2;1;09:03;0;2;0;1;NA;2;1;2;3;2;0;1;0
28/02/2023;16;264;bristowi;2;2;09:45;18;25;1;1;NA;2;1;2;3;25;18;1;1
01/03/2023;16;264;bristowi;2;3;11:35;6;7;1;1;NA;2;1;2;3;7;6;1;1
27/02/2023;17;321;bristowi;2;1;09:15;4;1;0;0;NA;2;1;2;3;1;4;0;0
28/02/2023;17;321;bristowi;2;2;10:07;0;1;0;0;NA;2;1;2;3;1;0;0;0
01/03/2023;17;321;bristowi;2;3;10:48;1;4;0;0;NA;2;1;2;3;4;1;0;0
27/02/2023;18;253;bristowi;2;1;09:27;11;17;0;0;NA;2;1;2;3;17;11;0;0
28/02/2023;18;253;bristowi;2;2;09:33;12;15;0;1;NA;2;1;2;3;15;12;1;0
01/03/2023;18;253;bristowi;2;3;10:26;3;18;0;3;NA;2;1;2;3;18;3;3;0
27/02/2023;19;255;bristowi;2;1;09:38;1;1;0;0;NA;2;1;2;3;1;1;0;0
28/02/2023;19;255;bristowi;2;2;09:56;1;1;0;0;NA;2;1;2;3;1;1;0;0
01/03/2023;19;255;bristowi;2;3;11:12;3;5;0;0;NA;2;1;2;3;5;3;0;0
27/02/2023;20;250;bristowi;2;1;09:50;21;50;0;5;NA;2;1;2;3;50;21;5;0
28/02/2023;20;250;bristowi;2;2;09:22;6;6;0;0;NA;2;1;2;3;6;6;0;0
01/03/2023;20;250;bristowi;2;3;11:00;18;47;0;5;NA;2;1;2;3;47;18;5;0
27/02/2023;21;265;bristowi;2;1;10:03;3;6;0;0;NA;2;1;2;3;6;3;0;0
28/02/2023;21;265;bristowi;2;2;08:58;2;1;0;0;NA;2;1;2;3;1;2;0;0
01/03/2023;21;265;bristowi;2;3;10:37;0;0;0;0;NA;2;1;2;3;0;0;0;0
27/02/2023;22;262;bristowi;2;1;10:13;1;0;0;0;NA;2;1;2;3;0;1;0;0
28/02/2023;22;262;bristowi;2;2;09:10;3;2;0;1;NA;2;1;2;3;2;3;1;0
01/03/2023;22;262;bristowi;2;3;11:23;0;0;0;0;NA;2;1;2;3;0;0;0;0
11/03/2023;37;350;bristowi;2;1;10:06;1;3;0;1;NA;2;1;2;3;3;1;1;0
12/03/2023;37;350;bristowi;2;2;10:41;6;5;0;0;NA;2;1;2;3;5;6;0;0
13/03/2023;37;350;bristowi;2;3;09:48;0;0;0;0;NA;2;1;2;3;0;0;0;0
11/03/2023;38;351;bristowi;2;1;09:29;1;2;0;0;NA;2;1;2;3;2;1;0;0
12/03/2023;38;351;bristowi;2;2;10:31;3;10;0;0;NA;2;1;2;3;10;3;0;0
13/03/2023;38;351;bristowi;2;3;09:01;0;0;0;0;NA;2;1;2;3;0;0;0;0
11/03/2023;39;362;bristowi;2;1;09:18;7;8;2;5;NA;2;1;2;3;8;7;5;2
12/03/2023;39;362;bristowi;2;2;11:18;6;8;0;0;NA;2;1;2;3;8;6;0;0
13/03/2023;39;362;bristowi;2;3;09:37;1;4;0;2;NA;2;1;2;3;4;1;2;0
11/03/2023;40;352;bristowi;2;1;09:03;1;0;0;0;NA;2;1;2;3;0;1;0;0
12/03/2023;40;352;bristowi;2;2;11:08;7;5;0;0;NA;2;1;2;3;5;7;0;0
13/03/2023;40;352;bristowi;2;3;09:12;6;11;0;3;NA;2;1;2;3;11;6;3;0
11/03/2023;41;360;bristowi;2;1;10:18;0;5;0;4;NA;2;1;2;3;5;0;4;0
12/03/2023;41;360;bristowi;2;2;11:30;0;3;0;1;NA;2;1;2;3;3;0;1;0
13/03/2023;41;360;bristowi;2;3;10:12;1;2;1;1;NA;2;1;2;3;2;1;1;1
11/03/2023;42;334;bristowi;2;1;09:54;5;24;0;3;NA;2;1;2;3;24;5;3;0
12/03/2023;42;334;bristowi;2;2;10:57;9;15;0;0;NA;2;1;2;3;15;9;0;0
13/03/2023;42;334;bristowi;2;3;10:00;4;4;0;1;NA;2;1;2;3;4;4;1;0
11/03/2023;43;361;bristowi;2;1;09:41;0;3;0;1;NA;2;1;2;3;3;0;1;0
12/03/2023;43;361;bristowi;2;2;11:42;2;0;0;0;NA;2;1;2;3;0;2;0;0
13/03/2023;43;361;bristowi;2;3;09:37;1;4;0;2;NA;2;1;2;3;4;1;2;0
14/03/2023;44;363;bristowi;2;1;09:03;2;0;0;0;NA;2;2;2;3;0;2;0;0
14/03/2023;45;385;bristowi;2;1;09:15;2;1;0;0;NA;2;2;2;3;1;2;0;0
14/03/2023;46;389;bristowi;2;1;09:26;1;1;0;0;NA;2;2;2;3;1;1;0;0
14/03/2023;47;386;bristowi;2;1;09:50;4;5;0;0;NA;2;2;2;3;5;4;0;0
14/03/2023;48;388;bristowi;2;1;10:02;6;24;0;8;NA;2;2;2;3;24;6;8;0
14/03/2023;49;387;bristowi;2;1;09:38;4;14;0;0;NA;2;2;2;3;14;4;0;0
15/03/2023;49;387;bristowi;2;2;09:38;4;13;0;2;NA;2;2;2;3;13;4;2;0
16/03/2023;49;387;bristowi;2;3;10:35;1;2;0;0;NA;2;2;2;3;2;1;0;0
14/03/2023;50;364;bristowi;2;1;10:13;2;3;0;1;NA;2;2;2;3;3;2;1;0
15/03/2023;50;364;bristowi;2;2;09:28;0;0;0;0;NA;2;2;2;3;0;0;0;0
16/03/2023;50;364;bristowi;2;3;10:46;2;2;0;0;NA;2;2;2;3;2;2;0;0
16/03/2023;51;421;bristowi;2;2;11:19;5;8;0;0;NA;2;2;2;3;8;5;0;0
17/03/2023;51;421;bristowi;2;2;09:19;1;1;0;0;NA;2;2;2;3;1;1;0;0
18/03/2023;51;421;bristowi;2;2;10:24;1;4;0;0;NA;2;2;2;3;4;1;0;0
16/03/2023;52;411;bristowi;2;1;11:09;3;2;0;0;NA;2;2;2;3;2;3;0;0
17/03/2023;52;411;bristowi;2;2;09:31;0;0;0;0;NA;2;2;2;3;0;0;0;0
16/03/2023;53;422;bristowi;2;1;11:42;12;23;1;5;NA;2;2;2;3;23;12;5;1
17/03/2023;53;422;bristowi;2;2;09:08;2;6;0;1;NA;2;2;2;3;6;2;1;0
18/03/2023;53;422;bristowi;2;3;10:39;12;7;3;1;NA;2;2;2;3;7;12;1;3
16/03/2023;54;408;bristowi;2;1;10:57;2;6;0;2;NA;2;2;2;3;6;2;2;0
17/03/2023;54;408;bristowi;2;2;10:04;3;11;0;5;NA;2;2;2;3;11;3;5;0
18/03/2023;54;408;bristowi;2;3;10:49;0;3;0;3;NA;2;2;2;3;3;0;3;0
16/03/2023;55;407;bristowi;2;1;11:31;0;0;0;0;NA;2;2;2;3;0;0;0;0
17/03/2023;55;407;bristowi;2;2;10:16;3;4;0;0;NA;2;2;2;3;4;3;0;0
18/03/2023;55;407;bristowi;2;3;10:36;0;0;0;0;NA;2;2;2;3;0;0;0;0
17/03/2023;56;390;bristowi;2;1;09:41;0;4;0;0;NA;2;2;2;3;4;0;0;0
18/03/2023;56;390;bristowi;2;2;10:14;0;1;0;0;NA;2;2;2;3;1;0;0;0
19/03/2023;56;390;bristowi;2;3;10:35;1;2;0;1;NA;2;2;2;3;2;1;1;0
17/03/2023;57;410;bristowi;2;1;09:53;1;4;0;0;NA;2;2;2;3;4;1;0;0
18/03/2023;57;410;bristowi;2;2;11:00;6;5;0;0;NA;2;2;2;3;5;6;0;0
19/03/2023;57;410;bristowi;2;3;10:24;12;12;0;0;NA;2;2;2;3;12;12;0;0
15/02/2023;1;205;theodorus;2;2;09:31;0;0;0;0;non;1;1;1;2;0;0;0;0
14/02/2023;1;205;theodorus;2;1;12:26;1;3;0;0;oui;1;1;1;2;1;3;0;0
16/02/2023;1;205;theodorus;2;3;11:40;5;6;0;0;oui;1;1;1;2;5;6;0;0
16/02/2023;2;215;theodorus;2;3;12:30;0;0;0;0;non;1;1;1;2;0;0;0;0
14/02/2023;2;215;theodorus;2;1;11:26;2;1;0;0;oui;1;1;1;2;2;1;0;0
15/02/2023;2;215;theodorus;2;2;09:55;4;7;0;0;oui;1;1;1;2;4;7;0;0
16/02/2023;3;104;theodorus;2;3;11:30;0;0;0;0;non;1;1;1;2;0;0;0;0
14/02/2023;3;104;theodorus;2;1;11:38;2;1;0;0;oui;1;1;1;2;2;1;0;0
15/02/2023;3;104;theodorus;2;2;10:43;5;2;1;0;oui;1;1;1;2;5;2;1;0
14/02/2023;4;146;theodorus;2;1;12:38;0;0;0;0;oui;1;1;1;2;0;0;0;0
15/02/2023;4;146;theodorus;2;2;09:19;2;0;1;0;oui;1;1;1;2;2;0;1;0
16/02/2023;4;146;theodorus;2;3;12:10;0;0;0;0;oui;1;1;1;2;0;0;0;0
14/02/2023;5;206;theodorus;2;1;11:50;4;0;0;0;oui;1;1;1;2;4;0;0;0
15/02/2023;5;206;theodorus;2;2;10:31;14;1;2;0;oui;1;1;1;2;14;1;2;0
16/02/2023;5;206;theodorus;2;3;12:00;0;2;0;0;oui;1;1;1;2;0;2;0;0
14/02/2023;6;113;theodorus;2;1;12:14;0;0;0;0;non;1;1;1;2;0;0;0;0
15/02/2023;6;113;theodorus;2;2;10:55;0;4;0;0;oui;1;1;1;2;0;4;0;0
16/02/2023;6;113;theodorus;2;3;11:20;1;0;0;0;oui;1;1;1;2;1;0;0;0
14/02/2023;7;147;theodorus;2;1;12:02;0;0;0;0;non;1;1;1;2;0;0;0;0
15/02/2023;7;147;theodorus;2;2;08:57;1;1;0;0;oui;1;1;1;2;1;1;0;0
16/02/2023;7;147;theodorus;2;3;11:10;0;0;0;0;oui;1;1;1;2;0;0;0;0
14/02/2023;8;178;theodorus;2;1;11:02;0;1;0;0;oui;1;1;1;2;0;1;0;0
15/02/2023;8;178;theodorus;2;2;09:43;15;10;1;0;oui;1;1;1;2;15;10;1;0
16/02/2023;8;178;theodorus;2;3;11:50;20;8;0;0;oui;1;1;1;2;20;8;0;0
14/02/2023;9;148;theodorus;2;1;11:14;1;0;0;0;oui;1;1;1;2;1;0;0;0
15/02/2023;9;148;theodorus;2;2;10:07;5;3;0;0;oui;1;1;1;2;5;3;0;0
16/02/2023;9;148;theodorus;2;3;12:40;1;1;0;0;oui;1;1;1;2;1;1;0;0
14/02/2023;10;204;theodorus;2;1;10:50;4;4;0;0;oui;1;1;1;2;4;4;0;0
15/02/2023;10;204;theodorus;2;2;10:19;30;20;6;1;oui;1;1;1;2;30;20;6;1
16/02/2023;10;204;theodorus;2;3;12:20;6;2;4;0;oui;1;1;1;2;6;2;4;0
17/02/2023;11;112;theodorus;2;1;10:44;15;8;0;0;oui;1;1;2;2;15;8;0;0
18/02/2023;11;112;theodorus;2;2;09:43;2;0;0;0;oui;1;1;2;2;2;0;0;0
19/02/2023;11;112;theodorus;2;3;09:35;3;0;1;0;oui;1;1;2;2;3;0;1;0
19/02/2023;12;177;theodorus;2;3;09:15;0;0;0;0;non;1;1;2;2;0;0;0;0
17/02/2023;12;177;theodorus;2;1;10:24;0;1;0;0;oui;1;1;2;2;0;1;0;0
18/02/2023;12;177;theodorus;2;2;09:33;25;16;4;1;oui;1;1;2;2;25;16;4;1
17/02/2023;13;149;theodorus;2;1;10:54;1;1;0;0;oui;1;1;2;2;1;1;0;0
18/02/2023;13;149;theodorus;2;2;09:53;1;2;0;0;oui;1;1;2;2;1;2;0;0
19/02/2023;13;149;theodorus;2;3;09:55;1;1;0;0;oui;1;1;2;2;1;1;0;0
17/02/2023;14;108;theodorus;2;1;11:04;11;5;0;0;oui;1;1;2;2;11;5;0;0
18/02/2023;14;108;theodorus;2;2;09:13;6;3;0;0;oui;1;1;2;2;6;3;0;0
19/02/2023;14;108;theodorus;2;3;09:25;14;3;0;0;oui;1;1;2;2;14;3;0;0
17/02/2023;15;111;theodorus;2;1;10:34;0;0;0;0;oui;1;1;2;2;0;0;0;0
18/02/2023;15;111;theodorus;2;2;09:23;1;0;0;0;oui;1;1;2;2;1;0;0;0
19/02/2023;15;111;theodorus;2;3;09:45;0;0;0;0;oui;1;1;2;2;0;0;0;0
02/03/2023;23;311;theodorus;2;1;11:38;6;3;0;0;oui;2;1;2;2;6;3;0;0
03/03/2023;23;311;theodorus;2;2;10:40;2;4;0;0;oui;2;1;2;2;2;4;0;0
04/03/2023;23;311;theodorus;2;3;10:10;0;0;0;0;non;2;1;2;2;0;0;0;0
02/03/2023;24;274;theodorus;2;1;11:02;0;1;0;0;oui;2;1;2;2;0;1;0;0
03/03/2023;24;274;theodorus;2;2;11:27;19;15;1;0;oui;2;1;2;2;19;15;1;0
04/03/2023;24;274;theodorus;2;3;09:11;7;3;0;0;oui;2;1;2;2;7;3;0;0
02/03/2023;25;277;theodorus;2;1;11:25;1;0;0;0;oui;2;1;2;2;1;0;0;0
03/03/2023;25;277;theodorus;2;2;11:14;10;2;0;0;oui;2;1;2;2;10;2;0;0
04/03/2023;25;277;theodorus;2;3;09:22;6;12;0;0;oui;2;1;2;2;6;12;0;0
02/03/2023;26;307;theodorus;2;1;10:38;7;4;1;0;oui;2;1;2;2;7;4;1;0
03/03/2023;26;307;theodorus;2;2;11:39;5;3;1;1;oui;2;1;2;2;5;3;1;1
04/03/2023;26;307;theodorus;2;3;09:34;15;2;2;0;oui;2;1;2;2;15;2;2;0
02/03/2023;27;279;theodorus;2;1;10:26;1;0;0;0;oui;2;1;2;2;1;0;0;0
03/03/2023;27;279;theodorus;2;2;11:03;3;2;0;0;oui;2;1;2;2;3;2;0;0
04/03/2023;27;279;theodorus;2;3;08:59;2;0;0;0;oui;2;1;2;2;2;0;0;0
02/03/2023;28;282;theodorus;2;1;11:14;4;3;0;0;oui;2;1;2;2;4;3;0;0
03/03/2023;28;282;theodorus;2;2;10:28;4;8;0;0;oui;2;1;2;2;4;8;0;0
04/03/2023;28;282;theodorus;2;3;09:47;3;2;0;0;oui;2;1;2;2;3;2;0;0
02/03/2023;29;323;theodorus;2;1;10:50;14;2;0;0;oui;2;1;2;2;14;2;0;0
03/03/2023;29;323;theodorus;2;2;10:51;6;13;1;0;oui;2;1;2;2;6;13;1;0
04/03/2023;29;323;theodorus;2;3;09:58;4;31;0;2;oui;2;1;2;2;4;31;0;2
08/03/2023;30;341;theodorus;2;1;11:10;2;1;0;0;oui;2;1;2;2;2;1;0;0
09/03/2023;30;341;theodorus;2;2;09:17;0;0;0;0;non;2;1;2;2;0;0;0;0
10/03/2023;30;341;theodorus;2;3;11:03;3;1;0;0;oui;2;1;2;2;3;1;0;0
08/03/2023;31;337;theodorus;2;1;10:47;1;2;0;0;oui;2;1;2;2;1;2;0;0
09/03/2023;31;337;theodorus;2;2;09:28;1;1;0;0;oui;2;1;2;2;1;1;0;0
10/03/2023;31;337;theodorus;2;3;11:38;0;0;0;0;oui;2;1;2;2;0;0;0;0
08/03/2023;32;338;theodorus;2;1;10:58;1;1;0;0;oui;2;1;2;2;1;1;0;0
09/03/2023;32;338;theodorus;2;2;10:03;0;0;0;0;oui;2;1;2;2;0;0;0;0
10/03/2023;32;338;theodorus;2;3;11:26;0;2;0;1;oui;2;1;2;2;0;2;0;1
08/03/2023;33;339;theodorus;2;1;11:34;4;4;0;0;oui;2;1;2;2;4;4;0;0
09/03/2023;33;339;theodorus;2;2;09:03;0;0;0;0;non;2;1;2;2;0;0;0;0
10/03/2023;33;339;theodorus;2;3;10:40;0;0;0;0;oui;2;1;2;2;0;0;0;0
08/03/2023;34;333;theodorus;2;1;10:25;9;3;0;0;oui;2;1;2;2;9;3;0;0
09/03/2023;34;333;theodorus;2;2;09:40;7;5;0;0;oui;2;1;2;2;7;5;0;0
10/03/2023;34;333;theodorus;2;3;10:30;0;0;0;0;oui;2;1;2;2;0;0;0;0
08/03/2023;35;336;theodorus;2;1;10:36;2;4;0;0;oui;2;1;2;2;2;4;0;0
09/03/2023;35;336;theodorus;2;2;09:52;3;2;2;0;oui;2;1;2;2;3;2;2;0
10/03/2023;35;336;theodorus;2;3;11:15;4;10;0;3;oui;2;1;2;2;4;10;0;3
08/03/2023;36;340;theodorus;2;1;11:20;1;0;0;0;oui;2;1;2;2;1;0;0;0
09/03/2023;36;340;theodorus;2;2;10:15;1;0;0;0;oui;2;1;2;2;1;0;0;0
10/03/2023;36;340;theodorus;2;3;10:51;0;0;0;0;non;2;1;2;2;0;0;0;0
19/03/2023;58;383;theodorus;2;1;10:49;3;0;0;0;oui;2;2;2;2;3;0;0;0
20/03/2023;58;383;theodorus;2;2;09:29;2;0;0;0;oui;2;2;2;2;2;0;0;0
21/03/2023;58;383;theodorus;2;3;09:18;5;3;0;0;oui;2;2;2;2;5;3;0;0
19/03/2023;59;365;theodorus;2;1;11:00;0;2;0;0;oui;2;2;2;2;0;2;0;0
20/03/2023;59;365;theodorus;2;2;09:08;3;1;0;0;oui;2;2;2;2;3;1;0;0
21/03/2023;59;365;theodorus;2;3;09:40;0;0;0;0;oui;2;2;2;2;0;0;0;0
19/03/2023;60;384;theodorus;2;1;11:11;5;5;0;0;oui;2;2;2;2;5;5;0;0
20/03/2023;60;384;theodorus;2;2;09:40;1;1;0;0;oui;2;2;2;2;1;1;0;0
21/03/2023;60;384;theodorus;2;3;09:29;2;4;0;0;oui;2;2;2;2;2;4;0;0
19/03/2023;61;366;theodorus;2;1;11:23;5;1;0;0;oui;2;2;2;2;5;1;0;0
20/03/2023;61;366;theodorus;2;2;09:18;1;2;0;0;oui;2;2;2;2;1;2;0;0
